acceptance_rate,name,act_avg,sat_avg,hs_gpa_avg,enrollment,cost_after_aid,tuition,institutionalControl
7,Princeton University,32,1400,3.91,5400,16793,47140,private
5,Harvard University,32,1430,4,6710,16338,48949,private
8,University of Chicago,32,1450,3.95,5941,27767,54825,private
6,Yale University,32,1420,3.95,5472,18385,51400,private
6,Columbia University,32,1430,3.91,6113,21041,57208,private
8,Massachusetts Institute of Technology,33,1460,4,4524,20331,49892,private
5,Stanford University,31,1380,3.96,7034,19296,49617,private
9,University of Pennsylvania,32,1380,3.9,10019,25441,53534,private
11,Duke University,31,1380,3.94,6609,23374,53744,private
8,California Institute of Technology,34,1510,4,979,23973,49908,private
11,Dartmouth College,30,1350,3.95,4310,23312,52950,private
12,Johns Hopkins University,32,1420,3.9,6117,30067,52170,private
11,Northwestern University,32,1400,3.92,8353,31087,52678,private
9,Brown University,31,1370,3.94,6926,24482,53419,private
14,Cornell University,31,1330,3.9,14566,28068,52853,private
15,Rice University,32,1410,3.96,3893,23996,45608,private
11,Vanderbilt University,32,1420,3.8,6871,23323,47664,private
19,University of Notre Dame,32,1350,3.91,8530,29653,51505,private
17,Washington University in St. Louis,32,1400,3.92,7540,29245,51533,private
17,Georgetown University,30,1320,3.89,7453,29667,52300,private
25,Emory University,30,1290,3.7,6861,24264,49392,private
16,University of California--Berkeley,29,1300,3.9,29311,49614,42112,public
18,University of California--Los Angeles,29,1300,3.92,30873,42896,41270,public
17,University of Southern California,30,1280,3.7,18794,33112,54259,private
22,Carnegie Mellon University,31,1380,3.8,6673,33550,53910,private
30,University of Virginia,29,1240,3.85,16331,28079,46975,public
29,University of Michigan--Ann Arbor,29,1310,3.8,28983,32856,47476,public
14,Tufts University,31,1370,3.91,5508,27034,54318,private
32,New York University,29,1250,3.6,26135,41783,50464,private
27,University of North Carolina--Chapel Hill,27,1190,3.83,18523,17815,34588,public
31,Boston College,30,1260,3.86,9309,30170,53346,private
37,College of William and Mary,28,1250,3.85,6276,42153,43099,public
33,Brandeis University,29,1270,3.84,3608,29288,53582,private
26,Georgia Institute of Technology,30,1320,3.85,15489,39518,33014,public
38,University of Rochester,29,1250,3.75,6386,28476,52020,private
29,Boston University,28,1220,3.6,17944,34539,52082,private
35,Case Western Reserve University,30,1280,3.86,5152,35248,47500,private
36,University of California--Santa Barbara,25,1140,3.82,21574,44849,42423,public
29,Northeastern University,31,1330,3.91,13473,38521,49497,private
26,Tulane University,29,1250,3.5,6377,35111,52960,private
44,Rensselaer Polytechnic Institute,28,1280,3.9,6265,35125,52305,private
41,University of California--Irvine,29,1060,3.75,27331,43506,43530,public
36,University of California--San Diego,25,1140,3.82,28127,42933,44197,public
46,University of Florida,27,1180,3.9,34554,36825,28658,public
26,Lehigh University,29,1230,3.81,5080,25376,50740,private
37,Pepperdine University,26,1110,3.6,3542,32416,51992,private
42,University of California--Davis,24,1050,4,29546,44075,42396,public
38,University of Miami,28,1210,3.6,10849,34479,48484,private
53,University of Wisconsin--Madison,27,1234,3.8,31710,36113,34782,public
44,Villanova University,30,1220,3.7,6999,35459,51434,private
56,Pennsylvania State University--University Park,25,1090,3.6,41359,41789,33664,public
60,University of Illinois--Urbana-Champaign,26,1280,3.79,33932,35977,31988,public
54,Ohio State University--Columbus,27,1160,3.76,45831,37032,29659,public
54,University of Georgia,26,1140,4,27951,30943,30392,public
40,George Washington University,27,1180,3.81,11504,37996,53518,private
56,Purdue University--West Lafayette,25,1080,3.7,30043,28383,28804,public
49,University of Connecticut,26,1130,3.74,19324,37427,36948,public
40,University of Texas--Austin,26,1140,3.8,40168,40558,35766,public
45,University of Washington,26,1120,3.8,30933,47746,35538,public
51,Brigham Young University--Provo,27,1160,3.8,30979,13186,5460,private
45,Fordham University,27,1170,3.6,9258,NA,50601,private
49,Southern Methodist University,28,1220,3.7,6521,47874,52498,private
52,Syracuse University,25,1090,3.6,15218,33912,46755,private
48,University of Maryland--College Park,28,1210,3.84,28472,36786,33606,public
48,Worcester Polytechnic Institute,28,1200,3.8,4432,39995,48628,private
51,Clemson University,26,1150,3.75,18599,38923,35654,public
55,University of Pittsburgh,27,1190,3.79,19123,NA,30642,public
26,American University,26,1150,3.7,7901,36076,46615,private
39,Stevens Institute of Technology,29,1260,3.8,3021,51810,50554,private
66,Texas A&M University--College Station,24,1070,3.68,50735,26376,30208,public
44,University of Minnesota--Twin Cities,26,1180,3.75,34871,28170,26603,public
40,Baylor University,26,1120,3.74,14348,36761,43790,private
40,Colorado School of Mines,29,1250,3.8,4612,47042,37436,public
60,University of Massachusetts--Amherst,25,1130,3.8,23373,35445,33662,public
65,Miami University--Oxford,26,1130,3.8,16981,42507,32768,public
38,Texas Christian University,25,1070,3.68,8891,33953,44760,private
84,University of Iowa,23,1020,3.6,24476,32794,28813,public
55,Clark University,27,1110,3.7,2289,27702,44400,private
58,Florida State University,25,1110,3.7,32929,34036,21673,public
66,Michigan State University,24,990,3.7,39090,47279,39405,public
46,North Carolina State University--Raleigh,27,1170,3.7,23847,25623,27406,public
59,University of California--Santa Cruz,23,1060,3.7,16962,47616,42042,public
65,University of Delaware,23,1090,3.7,18374,NA,32250,public
41,Binghamton University--SUNY,28,1230,3.7,13632,29356,24403,public
53,University of Denver,26,1110,3.7,5754,31393,48669,private
37,University of Tulsa,26,1120,3.9,3406,49957,39502,private
79,Indiana University--Bloomington,24,1060,3.7,39184,37563,34845,public
74,Marquette University,24,1040,3.56,8238,32894,39900,private
77,University of Colorado--Boulder,25,1070,3.7,27846,41125,35079,public
51,University of San Diego,26,1100,3.9,5711,36861,47708,private
75,Drexel University,25,1080,3.7,13251,42176,52002,private
65,Saint Louis University,24,1120,3.9,7454,28328,42166,private
51,Yeshiva University,23,1090,3.5,2714,34756,42000,private
41,Stony Brook University--SUNY,26,1150,3.8,17026,34024,26297,public
54,SUNY College of Environmental Science and Forestry,23,1070,3.7,1755,NA,18090,public
59,University at Buffalo--SUNY,24,1070,3.6,20411,37040,26270,public
71,University of Oklahoma,23,1060,3.6,22436,35144,24443,public
69,University of Vermont,25,1100,3.6,11159,36399,41356,public
81,Auburn University,24,1060,3.9,22658,39912,29640,public
57,Illinois Institute of Technology,26,1130,3.84,2944,29116,45864,private
73,Loyola University Chicago,24,1030,3.7,11129,38093,42828,private
76,University of New Hampshire,22,990,3.5,12871,34826,32637,public
78,University of Oregon,22,980,3.6,20049,42682,34611,public
68,University of South Carolina,25,1120,3.69,25556,41810,32362,public
77,University of Tennessee,24,1040,3.9,22139,39170,31160,public
30,Howard University,22,1040,3.5,5899,33124,25697,private
53,University of Alabama,23,980,3.7,32563,26861,28100,public
71,University of San Francisco,23,1030,3.4,6745,42433,46250,private
66,University of the Pacific,23,1030,3.5,3483,37188,46346,private
76,University of Utah,21,1050,3.6,23789,35873,26408,public
83,Arizona State University--Tempe,22,1020,3.5,42477,37446,27372,public
87,Iowa State University,22,980,3.6,30671,27241,22256,public
