acceptance_rate,pred,name,act_avg,sat_avg,hs_gpa_avg,enrollment,public_private,Index
67,0,Seton Hall University,23,1070,3.6,5956,private,121
69,0,University of Vermont,25,1100,3.6,11159,public,98
66,0,Texas A&M University--College Station,24,1070,3.68,50735,public,70
71,0,University of Oklahoma,23,1060,3.6,22436,public,97
66,0,Michigan State University,24,990,3.7,39090,public,80
66,0,University of California--Riverside,21,940,3.7,19799,public,123
68,0,University of South Carolina,25,1120,3.69,25556,public,104
76,0,University of Utah,21,1050,3.6,23789,public,110
76,0,University of Cincinnati,23,1030,3.6,25860,public,131
78,0,University of Oregon,22,980,3.6,20049,public,103
78,0,Colorado State University,22,1020,3.6,25177,public,119
78,0,University of Mississippi,22,1000,3.6,19213,public,142
73,0,Loyola University Chicago,24,1030,3.7,11129,private,101
75,0,Drexel University,25,1080,3.7,13251,private,91
77,0,University of Colorado--Boulder,25,1070,3.68,27846,public,89
77,0,Oregon State University,22,990,3.7,25327,public,139
84,0,University of Iowa,23,1020,3.6,24476,public,77
81,0,George Mason University,24,1060,3.7,23812,public,133
87,0,Iowa State University,22,980,3.6,30671,public,112
77,0,University of Tennessee,24,1040,3.66,22139,public,105
71,0,Auburn University,24,1060,3.74,22658,public,99
10,0,Tulane University,29,1250,3.64,6377,private,40
11,0,Vanderbilt University,32,1420,3.89,6871,private,17
13,0,University of Southern California,30,1280,3.83,18794,private,24
6,0,Columbia University,32,1430,3.91,6113,private,5
35,0,Howard University,22,1080,3.66,5899,private,106
7,0,Princeton University,32,1400,3.91,5400,private,1
5,0,Stanford University,31,1380,3.96,7034,private,7
87,0,Morgan State University,16,800,3.1,6362,public,228
6,0,Yale University,32,1420,3.95,5472,private,4
9,0,University of Pennsylvania,32,1380,3.9,10019,private,8
5,0,Harvard University,32,1430,4,6710,private,2
8,0,University of Chicago,32,1450,3.95,5941,private,3
87,0,Texas A&M University--Commerce,17,850,3.3,7605,public,239
9,0,Brown University,31,1370,3.94,6926,private,14
19,0,Boston University,28,1220,3.79,17944,private,36
12,0,Johns Hopkins University,32,1420,3.9,6117,private,12
